Name,Longitude,Latitude,key_model
University of Wisconsin-Madison,43.076592,-89.4124875,43.076592 + -89.4124875
"University of California, Santa Barbara",34.4139629,-119.848947,34.4139629 + -119.848947
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Stony Brook University,40.9123761,-73.1233889,40.9123761 + -73.1233889
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Illinois Institute of Technology,41.8348731,-87.6270059,41.8348731 + -87.6270059
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
Cornell University,42.4534492,-76.4735027,42.4534492 + -76.4735027
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Johns Hopkins Whiting School of Engineering,39.3285826,-76.6207908,39.3285826 + -76.6207908
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Nebraska-Lincoln,40.8201966,-96.7004763,40.8201966 + -96.7004763
Ira A. Fulton Schools of Engineering at Arizona State University,33.4236183,-111.9397138,33.4236183 + -111.9397138
Rutgers University-New Brunswick,40.5008186,-74.4473991,40.5008186 + -74.4473991
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Stony Brook University,40.9123761,-73.1233889,40.9123761 + -73.1233889
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
Purdue University,40.4237054,-86.9211946,40.4237054 + -86.9211946
University of Cincinnati,39.1329219,-84.5149504,39.1329219 + -84.5149504
The Ohio State University,40.0141905,-83.0309143,40.0141905 + -83.0309143
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
University of Tennessee-Knoxville,35.9544013,-83.9294564,35.9544013 + -83.9294564
University of Maryland - A. James Clark School of Engineering,38.9888669,-76.9379478,38.9888669 + -76.9379478
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
University of South Florida,28.0587031,-82.4138539,28.0587031 + -82.4138539
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
University of Minnesota-Twin Cities,44.9753541,-93.2330739,44.9753541 + -93.2330739
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
Georgia State University,33.753068,-84.3852819,33.753068 + -84.3852819
Texas A&M University-Kingsville,27.5251036,-97.8824821,27.5251036 + -97.8824821
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Duke University,36.0014258,-78.9382286,36.0014258 + -78.9382286
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
