Name,Rank,Longitude,Latitude,key_top200
Princeton University,1,40.3439888,-74.6514481,40.3439888 + -74.6514481
Harvard University,2,42.3770029,-71.1166601,42.3770029 + -71.1166601
University of Chicago,3,41.7886079,-87.5987133,41.7886079 + -87.5987133
Yale University,3,41.3163244,-72.9223431,41.3163244 + -72.9223431
Columbia University,5,40.8075355,-73.9625727,40.8075355 + -73.9625727
Stanford University,5,37.4274745,-122.169719,37.4274745 + -122.169719
Massachusetts Institute of Technology,7,42.360091,-71.09416,42.360091 + -71.09416
Duke University,8,36.0014258,-78.9382286,36.0014258 + -78.9382286
University of Pennsylvania,8,39.9522188,-75.1932137,39.9522188 + -75.1932137
Johns Hopkins University,10,39.3299013,-76.6205177,39.3299013 + -76.6205177
Dartmouth College,11,43.7044406,-72.2886935,43.7044406 + -72.2886935
California Institute of Technology,12,34.1376576,-118.125269,34.1376576 + -118.125269
Northwestern University,12,42.0564594,-87.675267,42.0564594 + -87.675267
Brown University,14,41.8267718,-71.4025482,41.8267718 + -71.4025482
Cornell University,15,42.4534492,-76.4735027,42.4534492 + -76.4735027
Rice University,15,29.7173941,-95.4018312,29.7173941 + -95.4018312
University of Notre Dame,15,41.7055716,-86.2353388,41.7055716 + -86.2353388
Vanderbilt University,15,36.1447034,-86.8026551,36.1447034 + -86.8026551
Washington University in St. Louis,19,38.6487895,-90.3107962,38.6487895 + -90.3107962
Emory University,20,33.7925195,-84.3239989,33.7925195 + -84.3239989
Georgetown University,20,38.9076089,-77.0722585,38.9076089 + -77.0722585
University of California--Berkeley,20,37.8718992,-122.2585399,37.8718992 + -122.2585399
University of Southern California,23,34.0223519,-118.285117,34.0223519 + -118.285117
Carnegie Mellon University,24,40.4428081,-79.9430128,40.4428081 + -79.9430128
University of California--Los Angeles,24,34.0667803,-118.1670662,34.0667803 + -118.1670662
University of Virginia,24,38.0335529,-78.5079772,38.0335529 + -78.5079772
Tufts University,27,42.4074843,-71.1190232,42.4074843 + -71.1190232
University of Michigan--Ann Arbor,27,42.2780436,-83.7382241,42.2780436 + -83.7382241
Wake Forest University,27,36.1340985,-80.2778951,36.1340985 + -80.2778951
University of North Carolina--Chapel Hill,30,35.9049122,-79.0469134,35.9049122 + -79.0469134
Boston College,31,42.3355488,-71.1684945,42.3355488 + -71.1684945
College of William & Mary,32,37.271674,-76.713378,37.271674 + -76.713378
University of Rochester,32,43.1305531,-77.6260033,43.1305531 + -77.6260033
Brandeis University,34,42.3654796,-71.2587009,42.3654796 + -71.2587009
Georgia Institute of Technology,34,33.7756178,-84.396285,33.7756178 + -84.396285
New York University,36,40.7295134,-73.9964609,40.7295134 + -73.9964609
Case Western Reserve University,37,41.5043413,-81.6083838,41.5043413 + -81.6083838
University of California--Santa Barbara,37,34.4139629,-119.848947,34.4139629 + -119.848947
Boston University,39,42.3504997,-71.1053991,42.3504997 + -71.1053991
Northeastern University,39,42.3398067,-71.0891717,42.3398067 + -71.0891717
Rensselaer Polytechnic Institute,39,42.730172,-73.678803,42.730172 + -73.678803
Tulane University,39,29.9403477,-90.1207279,29.9403477 + -90.1207279
University of California--Irvine,39,33.6404952,-117.8442962,33.6404952 + -117.8442962
Lehigh University,44,40.6069087,-75.3782832,40.6069087 + -75.3782832
University of California--Davis,44,38.5382322,-121.7617125,38.5382322 + -121.7617125
University of California--San Diego,44,32.8800604,-117.2340135,32.8800604 + -117.2340135
University of Illinois--Urbana-Champaign,44,40.1019523,-88.2271615,40.1019523 + -88.2271615
University of Miami,44,25.7191685,-80.2771253,25.7191685 + -80.2771253
University of Wisconsin--Madison,44,43.076592,-89.4124875,43.076592 + -89.4124875
Pepperdine University,50,34.0414045,-118.7095814,34.0414045 + -118.7095814
University of Florida,50,29.6436325,-82.3549302,29.6436325 + -82.3549302
Villanova University,50,40.037056,-75.34358,40.037056 + -75.34358
Pennsylvania State University--University Park,50,40.7982133,-77.8599084,40.7982133 + -77.8599084
Ohio State University--Columbus,54,40.0141905,-83.0309143,40.0141905 + -83.0309143
University of Washington,54,47.6553351,-122.3035199,47.6553351 + -122.3035199
George Washington University,56,38.8997145,-77.0485992,38.8997145 + -77.0485992
Southern Methodist University,56,32.8412178,-96.7845175,32.8412178 + -96.7845175
University of Georgia,56,33.9480053,-83.3773221,33.9480053 + -83.3773221
University of Texas--Austin,56,30.2849185,-97.7340567,30.2849185 + -97.7340567
Fordham University,60,40.8620404,-73.8856987,40.8620404 + -73.8856987
Purdue University--West Lafayette,60,40.4237054,-86.9211946,40.4237054 + -86.9211946
Syracuse University,60,43.0391534,-76.1351158,43.0391534 + -76.1351158
University of Connecticut,60,41.8077414,-72.2539805,41.8077414 + -72.2539805
University of Maryland--College Park,60,38.9869183,-76.9425543,38.9869183 + -76.9425543
Worcester Polytechnic Institute,60,42.2745754,-71.8062724,42.2745754 + -71.8062724
Clemson University,66,34.6761105,-82.8366374,34.6761105 + -82.8366374
Yeshiva University,66,40.8505995,-73.9293271,40.8505995 + -73.9293271
Brigham Young University--Provo,68,40.2518435,-111.6493156,40.2518435 + -111.6493156
University of Pittsburgh,68,40.4443533,-79.960835,40.4443533 + -79.960835
Rutgers University--New Brunswick,70,40.5008186,-74.4473991,40.5008186 + -74.4473991
Baylor University,71,31.5497007,-97.1143046,31.5497007 + -97.1143046
